Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
Nasr City,Ain Shams,Cairo,Cairo,2024-06-21 18:03:00,Friday,18,16.24,8.76,4.137668870891648,36.25,Uber Scooter,Credit Card,4.6
Nasr City,New Cairo,Cairo,Cairo,2024-06-06 16:47:00,Thursday,16,11.54,6.94,5.445832854008534,37.79,UberX,Wallet,3.8
Nasr City,Rehab,Cairo,Cairo,2024-06-11 02:59:00,Tuesday,2,13.52,5.75,4.97738858201479,28.62,Uber Bus,Credit Card,4.9
Shubra,Shorouk,Cairo,Cairo,2024-06-07 21:49:00,Friday,21,6.22,3.9,4.089697275745798,15.95,UberX,Wallet,3.7
Dokki,Rehab,Giza,Cairo,2024-06-11 15:29:00,Tuesday,15,43.86,27.28,3.16528593083992,86.35,UberX,Cash,4.0
Heliopolis,New Cairo,Cairo,Cairo,2024-06-04 08:35:00,Tuesday,8,30.96,19.82,4.499252454536033,89.18,UberX,Wallet,4.5
Haram,Zamalek,Giza,Cairo,2024-06-27 04:51:00,Thursday,4,35.05,13.34,4.289155675652077,57.22,Uber Scooter,Cash,4.2
Ain Shams,Downtown,Cairo,Cairo,2024-06-23 10:30:00,Sunday,10,31.1,13.42,3.691926644230034,49.55,Uber Scooter,Credit Card,3.9
Shubra,Obour,Cairo,Qalyubia,2024-06-22 17:44:00,Saturday,17,28.52,13.43,5.060890199107804,67.97,Uber Scooter,Cash,4.2
New Cairo,Downtown,Cairo,Cairo,2024-06-27 08:20:00,Thursday,8,29.46,15.61,3.899186578462383,60.87,Uber Bus,Wallet,4.2
Downtown,Zamalek,Cairo,Cairo,2024-06-28 20:23:00,Friday,20,29.77,14.99,4.0832734579178345,61.21,Uber Comfort,Cash,4.4
Shorouk,Zamalek,Cairo,Cairo,2024-06-06 06:35:00,Thursday,6,52.07,20.82,5.376600516170827,111.94,Uber Bus,Wallet,3.6
Mohandessin,Sheikh Zayed,Giza,Giza,2024-06-13 17:29:00,Thursday,17,54.68,19.42,3.2233676441729786,62.6,UberX,Wallet,4.3
10th of Ramadan,6th October,Sharqia,Giza,2024-06-18 11:27:00,Tuesday,11,29.66,15.28,3.545178291293409,54.17,Uber Comfort,Wallet,3.9
Faisal,10th of Ramadan,Giza,Sharqia,2024-06-07 19:32:00,Friday,19,22.65,13.58,3.5391715765749723,48.06,Uber Bus,Credit Card,4.4
Shubra,Rehab,Cairo,Cairo,2024-06-03 04:17:00,Monday,4,13.96,7.64,5.495934822058585,41.99,Uber Bus,Cash,4.2
Obour,Zamalek,Qalyubia,Cairo,2024-06-12 07:11:00,Wednesday,7,4.99,3.03,4.412282136684473,13.37,Uber Comfort,Credit Card,3.6
Rehab,Fifth Settlement,Cairo,Cairo,2024-06-01 20:56:00,Saturday,20,24.87,12.3,3.0173859700927195,37.11,Uber Bus,Credit Card,3.6
Fifth Settlement,Rehab,Cairo,Cairo,2024-06-07 23:12:00,Friday,23,54.13,24.82,5.226787071777542,129.73,Uber Scooter,Cash,4.2
Haram,10th of Ramadan,Giza,Sharqia,2024-06-24 12:30:00,Monday,12,56.15,21.35,4.7961191054563,102.4,Uber Comfort,Wallet,3.9
Rehab,Faisal,Cairo,Giza,2024-06-08 09:22:00,Saturday,9,47.2,27.92,5.4909992455077,153.31,Uber Scooter,Wallet,4.2
Dokki,Rehab,Giza,Cairo,2024-06-08 13:28:00,Saturday,13,4.99,3.45,4.963858653235607,17.13,Uber Scooter,Wallet,4.9
Shorouk,Maadi,Cairo,Cairo,2024-06-10 18:32:00,Monday,18,6.39,3.85,4.320939002690944,16.64,Uber Comfort,Cash,4.2
Heliopolis,Zamalek,Cairo,Cairo,2024-06-05 01:01:00,Wednesday,1,34.98,12.4,3.225971618519788,40.0,Uber Bus,Wallet,3.8
10th of Ramadan,Shubra,Sharqia,Cairo,2024-06-30 01:19:00,Sunday,1,39.92,21.23,3.060322405565292,64.97,Uber Scooter,Credit Card,4.9
Faisal,Mohandessin,Giza,Giza,2024-06-19 20:02:00,Wednesday,20,45.74,28.98,5.005962121271386,145.07,Uber Bus,Credit Card,4.6
Rehab,Nasr City,Cairo,Cairo,2024-06-07 13:30:00,Friday,13,40.96,28.04,3.184020291480753,89.28,Uber Bus,Credit Card,4.0
Obour,Shubra,Qalyubia,Cairo,2024-06-02 01:33:00,Sunday,1,59.24,21.33,3.306591156573361,70.53,Uber Comfort,Cash,4.5
Sheikh Zayed,Fifth Settlement,Giza,Cairo,2024-06-25 15:48:00,Tuesday,15,28.65,9.76,3.96756116038088,38.72,Uber Comfort,Credit Card,3.9
Dokki,Mohandessin,Giza,Giza,2024-06-21 06:51:00,Friday,6,48.89,26.27,4.907951990815748,128.93,Uber Comfort,Credit Card,4.6
Heliopolis,Obour,Cairo,Qalyubia,2024-06-27 17:59:00,Thursday,17,5.48,2.39,4.729148929282124,11.3,Uber Bus,Cash,4.6
Faisal,Shubra,Giza,Cairo,2024-06-25 15:57:00,Tuesday,15,13.76,5.74,3.4260381623342138,19.67,Uber Comfort,Cash,4.2
Zamalek,Obour,Cairo,Qalyubia,2024-06-28 05:23:00,Friday,5,20.35,12.39,3.0584017573589186,37.89,UberX,Wallet,4.5
Fifth Settlement,6th October,Cairo,Giza,2024-06-04 05:37:00,Tuesday,5,15.91,10.95,4.524952372240953,49.55,Uber Scooter,Wallet,4.9
Shorouk,Faisal,Cairo,Giza,2024-06-16 16:14:00,Sunday,16,31.73,11.54,5.080590016226559,58.63,Uber Bus,Credit Card,3.7
Maadi,Faisal,Cairo,Giza,2024-06-21 15:02:00,Friday,15,9.99,5.07,3.836038127529074,19.45,Uber Comfort,Wallet,3.7
Sheikh Zayed,Rehab,Giza,Cairo,2024-06-29 10:49:00,Saturday,10,32.12,11.84,4.312086648466263,51.06,Uber Comfort,Credit Card,4.3
6th October,Maadi,Giza,Cairo,2024-06-27 22:36:00,Thursday,22,8.03,4.61,3.2722520087704243,15.09,Uber Comfort,Wallet,5.0
New Cairo,Faisal,Cairo,Giza,2024-06-28 05:01:00,Friday,5,5.26,3.29,5.31083335715514,17.47,Uber Comfort,Credit Card,4.0
Haram,Maadi,Giza,Cairo,2024-06-05 18:48:00,Wednesday,18,28.42,10.4,4.21875502329546,43.88,Uber Comfort,Cash,4.2
Sheikh Zayed,Dokki,Giza,Giza,2024-06-01 13:48:00,Saturday,13,20.39,13.74,3.023393851602794,41.54,Uber Bus,Credit Card,3.9
Downtown,Haram,Cairo,Giza,2024-06-15 04:25:00,Saturday,4,32.99,20.94,3.4902333893142194,73.09,Uber Scooter,Credit Card,3.9
New Cairo,Dokki,Cairo,Giza,2024-06-29 06:51:00,Saturday,6,9.1,5.31,5.348288849974186,28.4,Uber Bus,Wallet,3.5
Mohandessin,Sheikh Zayed,Giza,Giza,2024-06-19 20:45:00,Wednesday,20,46.94,25.45,3.6642938448612217,93.26,Uber Comfort,Wallet,4.2
Maadi,6th October,Cairo,Giza,2024-06-20 21:37:00,Thursday,21,4.53,2.14,3.532747376176931,7.56,Uber Comfort,Wallet,4.7
Obour,New Cairo,Qalyubia,Cairo,2024-06-09 06:36:00,Sunday,6,37.8,27.29,4.869218079767252,132.88,Uber Bus,Credit Card,3.8
Downtown,Shorouk,Cairo,Cairo,2024-06-09 18:37:00,Sunday,18,59.0,23.05,3.00738934620433,69.32,Uber Scooter,Wallet,4.2
Maadi,Haram,Cairo,Giza,2024-06-23 02:19:00,Sunday,2,9.35,5.64,3.435066161297229,19.37,UberX,Wallet,3.6
Nasr City,New Cairo,Cairo,Cairo,2024-06-27 12:52:00,Thursday,12,40.26,28.55,4.860750068793156,138.77,Uber Bus,Credit Card,4.0
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-06 10:21:00,Thursday,10,11.5,8.3,4.7706055462211445,39.6,Uber Scooter,Wallet,4.5
Fifth Settlement,Zamalek,Cairo,Cairo,2024-06-06 04:57:00,Thursday,4,63.96,28.91,3.825242251640963,110.59,Uber Scooter,Credit Card,3.9
Mohandessin,Shubra,Giza,Cairo,2024-06-20 15:04:00,Thursday,15,27.22,14.0,4.005920890788249,56.08,Uber Bus,Cash,4.1
Ain Shams,Rehab,Cairo,Cairo,2024-06-19 19:40:00,Wednesday,19,9.21,6.26,5.193256340015774,32.51,Uber Bus,Cash,4.4
Sheikh Zayed,Faisal,Giza,Giza,2024-06-28 06:19:00,Friday,6,32.83,17.02,3.732422554619237,63.53,Uber Bus,Cash,4.2
Downtown,Obour,Cairo,Qalyubia,2024-06-13 20:38:00,Thursday,20,15.78,10.77,3.1780543240693406,34.23,Uber Comfort,Credit Card,4.0
New Cairo,Nasr City,Cairo,Cairo,2024-06-25 16:48:00,Tuesday,16,25.7,17.02,5.045682380261596,85.88,UberX,Cash,4.9
Maadi,Obour,Cairo,Qalyubia,2024-06-17 18:44:00,Monday,18,19.75,13.95,3.774352653241772,52.65,Uber Scooter,Wallet,3.9
Mohandessin,Rehab,Giza,Cairo,2024-06-28 11:30:00,Friday,11,35.22,24.89,5.010077358528989,124.7,Uber Comfort,Credit Card,4.4
10th of Ramadan,Zamalek,Sharqia,Cairo,2024-06-09 10:21:00,Sunday,10,9.11,6.62,3.5346383448630565,23.4,Uber Scooter,Wallet,4.1
10th of Ramadan,Haram,Sharqia,Giza,2024-06-25 03:59:00,Tuesday,3,16.04,11.96,4.0733811732368,48.72,UberX,Cash,3.7
Nasr City,Haram,Cairo,Giza,2024-06-30 16:07:00,Sunday,16,43.61,29.79,4.521525515722201,134.7,UberX,Cash,4.6
Sheikh Zayed,Shorouk,Giza,Cairo,2024-06-26 09:42:00,Wednesday,9,28.98,18.81,4.074078705357221,76.63,Uber Scooter,Wallet,4.7
Shubra,Downtown,Cairo,Cairo,2024-06-07 00:38:00,Friday,0,39.84,28.57,4.009596919914001,114.55,Uber Bus,Credit Card,4.0
Dokki,Haram,Giza,Giza,2024-06-04 05:46:00,Tuesday,5,51.43,19.39,5.27784267832983,102.34,Uber Bus,Cash,4.6
Shubra,New Cairo,Cairo,Cairo,2024-06-07 15:17:00,Friday,15,12.26,8.82,5.113744636754115,45.1,Uber Comfort,Wallet,4.7
Faisal,Dokki,Giza,Giza,2024-06-02 14:31:00,Sunday,14,36.08,23.7,3.861494838075984,91.52,Uber Bus,Credit Card,4.6
Shubra,Downtown,Cairo,Cairo,2024-06-18 12:37:00,Tuesday,12,37.54,18.79,4.957825319705297,93.16,UberX,Wallet,4.3
Zamalek,Maadi,Cairo,Cairo,2024-06-30 11:09:00,Sunday,11,39.0,19.28,3.9150997787830257,75.48,Uber Bus,Cash,5.0
New Cairo,Obour,Cairo,Qalyubia,2024-06-07 06:54:00,Friday,6,12.46,8.67,4.636902395822686,40.2,UberX,Cash,3.5
6th October,Mohandessin,Giza,Giza,2024-06-21 11:15:00,Friday,11,30.43,12.41,5.096535055620889,63.25,UberX,Credit Card,4.8
10th of Ramadan,Maadi,Sharqia,Cairo,2024-06-05 00:00:00,Wednesday,0,23.88,15.35,3.0499665867500907,46.82,UberX,Cash,4.5
Heliopolis,Rehab,Cairo,Cairo,2024-06-02 05:59:00,Sunday,5,44.53,15.6,3.743819362202434,58.4,Uber Bus,Cash,3.8
Obour,Heliopolis,Qalyubia,Cairo,2024-06-26 07:28:00,Wednesday,7,27.07,11.55,5.218124820012112,60.27,Uber Scooter,Cash,3.9
Fifth Settlement,10th of Ramadan,Cairo,Sharqia,2024-06-09 21:04:00,Sunday,21,21.46,15.94,5.245616007501303,83.62,Uber Bus,Credit Card,4.7
Faisal,Haram,Giza,Giza,2024-06-12 01:23:00,Wednesday,1,11.75,5.9,3.0646070481975283,18.08,Uber Scooter,Cash,3.9
Dokki,Sheikh Zayed,Giza,Giza,2024-06-16 03:01:00,Sunday,3,23.0,14.52,3.00006884379804,43.56,UberX,Cash,3.9
Maadi,Sheikh Zayed,Cairo,Giza,2024-06-04 13:34:00,Tuesday,13,25.11,15.34,4.148932090204989,63.64,Uber Bus,Credit Card,4.7
Dokki,Shubra,Giza,Cairo,2024-06-14 22:49:00,Friday,22,14.67,9.9,3.425381148573753,33.91,Uber Comfort,Wallet,4.8
New Cairo,Sheikh Zayed,Cairo,Giza,2024-06-27 16:20:00,Thursday,16,80.75,29.12,3.3697913957864354,98.13,UberX,Wallet,4.3
Obour,Downtown,Qalyubia,Cairo,2024-06-21 18:16:00,Friday,18,31.78,11.97,3.373930266870649,40.39,Uber Bus,Credit Card,4.4
Mohandessin,Rehab,Giza,Cairo,2024-06-13 22:26:00,Thursday,22,59.24,26.32,3.9281821851491063,103.39,Uber Comfort,Wallet,4.9
Mohandessin,10th of Ramadan,Giza,Sharqia,2024-06-15 15:16:00,Saturday,15,11.38,6.22,3.981392587653301,24.76,Uber Bus,Wallet,3.8
Haram,Ain Shams,Giza,Cairo,2024-06-17 03:54:00,Monday,3,26.7,19.47,4.191940234748513,81.62,Uber Comfort,Credit Card,3.7
New Cairo,Maadi,Cairo,Cairo,2024-06-28 23:09:00,Friday,23,9.01,3.47,5.180743471042935,17.98,Uber Scooter,Wallet,4.7
Sheikh Zayed,Faisal,Giza,Giza,2024-06-19 17:11:00,Wednesday,17,51.98,29.7,4.744253243965468,140.9,Uber Bus,Credit Card,3.8
Fifth Settlement,Haram,Cairo,Giza,2024-06-18 07:43:00,Tuesday,7,48.35,27.41,5.100875770584128,139.82,UberX,Cash,3.7
Haram,New Cairo,Giza,Cairo,2024-06-25 03:21:00,Tuesday,3,31.72,23.54,4.256876990138814,100.21,UberX,Credit Card,4.6
Dokki,Haram,Giza,Giza,2024-06-09 11:55:00,Sunday,11,38.65,18.04,4.924532081896763,88.84,UberX,Credit Card,3.7
Nasr City,10th of Ramadan,Cairo,Sharqia,2024-06-17 21:19:00,Monday,21,53.34,24.66,4.961678564740064,122.35,UberX,Credit Card,3.6
Sheikh Zayed,Maadi,Giza,Cairo,2024-06-12 19:01:00,Wednesday,19,46.74,27.2,3.0047936590870337,81.73,UberX,Cash,4.8
Shorouk,Faisal,Cairo,Giza,2024-06-08 22:23:00,Saturday,22,51.01,21.32,4.294064244042508,91.55,Uber Comfort,Credit Card,4.0
Shubra,Downtown,Cairo,Cairo,2024-06-24 11:10:00,Monday,11,9.24,5.74,4.96803400664317,28.52,UberX,Wallet,4.2
Ain Shams,Shubra,Cairo,Cairo,2024-06-01 17:06:00,Saturday,17,9.02,6.5,4.659878633024562,30.29,Uber Scooter,Cash,4.5
6th October,New Cairo,Giza,Cairo,2024-06-29 09:00:00,Saturday,9,19.36,10.57,3.4947748434032824,36.94,Uber Scooter,Credit Card,4.8
Haram,Faisal,Giza,Giza,2024-06-29 06:22:00,Saturday,6,31.78,14.56,3.244518434614371,47.24,Uber Bus,Wallet,4.1
Shubra,Dokki,Cairo,Giza,2024-06-29 09:55:00,Saturday,9,35.38,26.28,5.03341738052892,132.28,Uber Scooter,Credit Card,4.9
Haram,Rehab,Giza,Cairo,2024-06-20 07:43:00,Thursday,7,30.89,19.94,5.02258307236662,100.15,UberX,Wallet,4.9
Heliopolis,Obour,Cairo,Qalyubia,2024-06-21 19:58:00,Friday,19,26.26,10.93,5.008519654436077,54.74,Uber Bus,Cash,4.1
10th of Ramadan,Heliopolis,Sharqia,Cairo,2024-06-22 14:18:00,Saturday,14,34.03,21.5,4.037891274150682,86.81,Uber Comfort,Credit Card,4.7
Haram,Dokki,Giza,Giza,2024-06-29 14:19:00,Saturday,14,46.82,20.5,4.257287328364006,87.27,Uber Scooter,Wallet,4.1
Haram,Downtown,Giza,Cairo,2024-06-24 04:00:00,Monday,4,29.59,12.57,5.452017760980349,68.53,UberX,Credit Card,4.2
Mohandessin,Shubra,Giza,Cairo,2024-06-09 14:33:00,Sunday,14,62.2,29.7,3.147637098131029,93.48,Uber Scooter,Credit Card,4.0
Obour,Sheikh Zayed,Qalyubia,Giza,2024-06-02 01:00:00,Sunday,1,14.38,7.92,4.676559195269135,37.04,Uber Bus,Wallet,5.0
Zamalek,Nasr City,Cairo,Cairo,2024-06-30 03:11:00,Sunday,3,25.57,12.79,5.151593343763462,65.89,Uber Comfort,Wallet,3.6
Obour,New Cairo,Qalyubia,Cairo,2024-06-24 11:28:00,Monday,11,32.72,22.98,4.328784693692271,99.48,Uber Scooter,Credit Card,4.0
Heliopolis,10th of Ramadan,Cairo,Sharqia,2024-06-17 07:05:00,Monday,7,55.72,22.54,4.7106617764883065,106.18,Uber Bus,Cash,5.0
Mohandessin,Rehab,Giza,Cairo,2024-06-04 02:24:00,Tuesday,2,49.67,20.81,3.605632281771199,75.03,Uber Scooter,Wallet,4.7
Shubra,Rehab,Cairo,Cairo,2024-06-21 16:59:00,Friday,16,39.64,29.31,4.201116160133996,123.13,Uber Comfort,Cash,4.5
Shubra,Downtown,Cairo,Cairo,2024-06-12 05:03:00,Wednesday,5,40.31,24.92,5.0462268784079125,125.75,Uber Bus,Wallet,3.9
Zamalek,Ain Shams,Cairo,Cairo,2024-06-21 04:30:00,Friday,4,9.85,7.26,4.944644896126242,35.9,UberX,Credit Card,4.7
Mohandessin,New Cairo,Giza,Cairo,2024-06-22 04:43:00,Saturday,4,12.23,5.47,5.328151729642507,29.14,UberX,Cash,3.9
Fifth Settlement,Faisal,Cairo,Giza,2024-06-21 02:10:00,Friday,2,33.68,12.75,5.014279947955003,63.93,Uber Bus,Cash,4.7
Zamalek,Nasr City,Cairo,Cairo,2024-06-11 04:45:00,Tuesday,4,56.37,27.06,4.992813262173206,135.11,UberX,Cash,4.5
Downtown,Nasr City,Cairo,Cairo,2024-06-25 15:10:00,Tuesday,15,38.21,24.59,4.136562161781152,101.72,Uber Comfort,Wallet,4.2
Nasr City,Zamalek,Cairo,Cairo,2024-06-09 14:55:00,Sunday,14,28.58,20.48,4.050036412133107,82.94,Uber Scooter,Wallet,3.8
Zamalek,10th of Ramadan,Cairo,Sharqia,2024-06-29 17:45:00,Saturday,17,38.58,22.95,3.3479673319884373,76.84,Uber Comfort,Wallet,4.0
6th October,Shorouk,Giza,Cairo,2024-06-25 18:17:00,Tuesday,18,27.32,14.12,3.473675934520794,49.05,Uber Scooter,Wallet,3.5
Haram,Shorouk,Giza,Cairo,2024-06-09 01:42:00,Sunday,1,44.57,15.77,3.758199195156956,59.27,Uber Comfort,Wallet,3.8
Faisal,Zamalek,Giza,Cairo,2024-06-04 15:54:00,Tuesday,15,10.55,6.08,3.635150064623571,22.1,Uber Comfort,Cash,4.0
Rehab,New Cairo,Cairo,Cairo,2024-06-05 19:23:00,Wednesday,19,49.16,23.71,3.503054070557116,83.06,Uber Bus,Cash,4.5
Mohandessin,10th of Ramadan,Giza,Sharqia,2024-06-21 19:57:00,Friday,19,40.36,21.34,3.943322640060506,84.15,Uber Comfort,Wallet,4.6
Shubra,6th October,Cairo,Giza,2024-06-13 19:55:00,Thursday,19,24.55,11.07,5.108987898017963,56.56,Uber Comfort,Wallet,4.2
Maadi,Faisal,Cairo,Giza,2024-06-16 10:06:00,Sunday,10,59.27,20.35,5.225029503031196,106.33,Uber Scooter,Wallet,4.5
Zamalek,Shubra,Cairo,Cairo,2024-06-27 14:25:00,Thursday,14,26.45,14.81,5.188913701212753,76.85,UberX,Credit Card,4.0
Mohandessin,Nasr City,Giza,Cairo,2024-06-15 21:33:00,Saturday,21,5.04,3.08,4.98970066982608,15.37,Uber Comfort,Credit Card,4.5
Heliopolis,Downtown,Cairo,Cairo,2024-06-27 08:37:00,Thursday,8,56.18,20.78,3.7992951773531214,78.95,Uber Bus,Wallet,3.8
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-06 20:07:00,Thursday,20,26.51,14.91,5.42501400556029,80.89,Uber Comfort,Wallet,4.8
Faisal,Heliopolis,Giza,Cairo,2024-06-10 06:02:00,Monday,6,3.35,2.11,4.388360115344272,9.26,UberX,Wallet,4.0
Rehab,10th of Ramadan,Cairo,Sharqia,2024-06-18 20:39:00,Tuesday,20,49.47,19.06,4.346957785142381,82.85,UberX,Wallet,4.0
Maadi,Shorouk,Cairo,Cairo,2024-06-09 08:47:00,Sunday,8,45.06,29.98,3.974677564271031,119.16,Uber Comfort,Credit Card,4.0
Sheikh Zayed,Shubra,Giza,Cairo,2024-06-15 11:18:00,Saturday,11,16.37,9.5,3.458366571415371,32.85,Uber Comfort,Credit Card,4.3
Shorouk,Ain Shams,Cairo,Cairo,2024-06-25 03:22:00,Tuesday,3,6.33,3.46,4.825279324592248,16.7,UberX,Cash,4.5
Nasr City,Mohandessin,Cairo,Giza,2024-06-28 15:20:00,Friday,15,83.33,28.35,3.3509275816313715,95.0,Uber Comfort,Wallet,4.8
10th of Ramadan,Fifth Settlement,Sharqia,Cairo,2024-06-16 09:04:00,Sunday,9,41.47,15.6,4.791395376089509,74.75,Uber Comfort,Wallet,4.0
Downtown,Maadi,Cairo,Cairo,2024-06-23 15:33:00,Sunday,15,40.6,23.83,3.6423722653833,86.8,UberX,Wallet,3.9
Heliopolis,Dokki,Cairo,Giza,2024-06-22 01:31:00,Saturday,1,18.74,10.38,4.292706872349937,44.56,Uber Bus,Cash,4.3
Obour,Dokki,Qalyubia,Giza,2024-06-05 21:30:00,Wednesday,21,44.77,25.91,3.3974931509776174,88.03,Uber Scooter,Cash,4.8
Maadi,6th October,Cairo,Giza,2024-06-26 11:17:00,Wednesday,11,46.19,23.89,4.466470120799306,106.7,Uber Comfort,Credit Card,4.0
Zamalek,Dokki,Cairo,Giza,2024-06-21 08:46:00,Friday,8,22.49,16.08,4.123011608392708,66.3,UberX,Cash,3.6
Sheikh Zayed,6th October,Giza,Giza,2024-06-04 09:42:00,Tuesday,9,25.54,14.78,5.162206245208441,76.3,Uber Comfort,Cash,4.4
Obour,New Cairo,Qalyubia,Cairo,2024-06-06 07:28:00,Thursday,7,30.39,11.09,4.708106846791862,52.21,Uber Comfort,Cash,4.8
Maadi,Haram,Cairo,Giza,2024-06-11 23:55:00,Tuesday,23,54.09,20.84,5.165935406866234,107.66,Uber Scooter,Wallet,4.8
10th of Ramadan,Faisal,Sharqia,Giza,2024-06-23 16:03:00,Sunday,16,35.02,14.13,5.017472747417358,70.9,Uber Scooter,Credit Card,4.6
Obour,Shorouk,Qalyubia,Cairo,2024-06-05 14:28:00,Wednesday,14,36.02,17.68,4.339766033593845,76.73,Uber Bus,Credit Card,4.5
Rehab,Obour,Cairo,Qalyubia,2024-06-01 14:21:00,Saturday,14,24.33,15.91,4.508151916484481,71.72,UberX,Credit Card,3.9
Fifth Settlement,6th October,Cairo,Giza,2024-06-18 03:55:00,Tuesday,3,35.43,18.67,4.199975778861199,78.41,UberX,Credit Card,4.2
Rehab,Shubra,Cairo,Cairo,2024-06-12 08:50:00,Wednesday,8,16.88,11.81,4.142969829701199,48.93,Uber Scooter,Credit Card,4.0
New Cairo,Zamalek,Cairo,Cairo,2024-06-19 20:06:00,Wednesday,20,71.72,28.74,4.863523129200008,139.78,Uber Bus,Credit Card,3.9
Heliopolis,Maadi,Cairo,Cairo,2024-06-12 04:45:00,Wednesday,4,43.65,25.84,3.419658943388302,88.36,Uber Bus,Credit Card,4.5
Mohandessin,Obour,Giza,Qalyubia,2024-06-15 11:47:00,Saturday,11,44.44,25.97,3.5823981328694074,93.03,Uber Bus,Cash,3.7
Haram,Heliopolis,Giza,Cairo,2024-06-13 08:14:00,Thursday,8,3.93,2.7,5.345123073451248,14.43,UberX,Cash,4.4
Maadi,Obour,Cairo,Qalyubia,2024-06-01 14:39:00,Saturday,14,34.5,19.13,3.715536861470558,71.08,Uber Scooter,Cash,3.8
Sheikh Zayed,10th of Ramadan,Giza,Sharqia,2024-06-16 17:41:00,Sunday,17,11.62,8.13,4.511526842492641,36.68,Uber Comfort,Credit Card,3.7
Haram,Fifth Settlement,Giza,Cairo,2024-06-19 15:09:00,Wednesday,15,8.83,5.12,5.426972136458879,27.79,Uber Bus,Wallet,3.7
Sheikh Zayed,Heliopolis,Giza,Cairo,2024-06-19 17:18:00,Wednesday,17,25.59,8.77,5.457726361448626,47.86,Uber Bus,Wallet,4.6
Fifth Settlement,Heliopolis,Cairo,Cairo,2024-06-03 06:40:00,Monday,6,21.59,14.99,4.720506028083207,70.76,UberX,Cash,3.7
Shorouk,Maadi,Cairo,Cairo,2024-06-10 06:17:00,Monday,6,44.28,27.47,4.354326414979466,119.61,Uber Comfort,Cash,3.7
Haram,Faisal,Giza,Giza,2024-06-17 07:33:00,Monday,7,45.36,21.63,3.953200142257136,85.51,Uber Bus,Credit Card,3.6
Haram,Shubra,Giza,Cairo,2024-06-08 23:18:00,Saturday,23,18.61,9.27,4.848922150659512,44.95,Uber Bus,Wallet,4.8
6th October,Maadi,Giza,Cairo,2024-06-02 14:13:00,Sunday,14,5.72,4.28,3.973274667397392,17.01,UberX,Credit Card,4.9
Sheikh Zayed,Downtown,Giza,Cairo,2024-06-15 17:44:00,Saturday,17,36.85,14.94,4.713409518661272,70.42,UberX,Wallet,4.1
Haram,Shubra,Giza,Cairo,2024-06-11 07:29:00,Tuesday,7,20.4,9.78,4.346804231795666,42.51,UberX,Credit Card,4.9
Dokki,Haram,Giza,Giza,2024-06-03 12:26:00,Monday,12,18.05,8.77,4.47039279071552,39.21,Uber Bus,Cash,4.7
Haram,Shorouk,Giza,Cairo,2024-06-10 03:49:00,Monday,3,42.0,14.23,5.391363834680561,76.72,UberX,Credit Card,4.6
Maadi,Haram,Cairo,Giza,2024-06-17 23:02:00,Monday,23,8.41,5.48,3.77037846131084,20.66,Uber Comfort,Cash,4.4
Dokki,Haram,Giza,Giza,2024-06-29 08:37:00,Saturday,8,37.93,27.36,4.440527367492934,121.49,Uber Comfort,Credit Card,3.6
Maadi,Shubra,Cairo,Cairo,2024-06-11 12:23:00,Tuesday,12,48.55,29.02,5.378621320676544,156.09,UberX,Cash,3.7
Heliopolis,Shorouk,Cairo,Cairo,2024-06-15 13:27:00,Saturday,13,55.92,18.68,3.187639284062554,59.55,Uber Comfort,Wallet,4.1
Nasr City,Fifth Settlement,Cairo,Cairo,2024-06-25 13:07:00,Tuesday,13,15.34,10.85,4.969910730284099,53.92,Uber Bus,Credit Card,3.9
Haram,New Cairo,Giza,Cairo,2024-06-03 09:09:00,Monday,9,23.07,12.14,4.520874068862308,54.88,Uber Bus,Wallet,4.4
Fifth Settlement,Heliopolis,Cairo,Cairo,2024-06-25 21:01:00,Tuesday,21,36.88,15.27,4.560649500712841,69.64,Uber Scooter,Credit Card,4.6
Haram,Ain Shams,Giza,Cairo,2024-06-13 15:25:00,Thursday,15,30.64,18.89,3.6913966726088336,69.73,Uber Bus,Cash,4.4
Obour,Haram,Qalyubia,Giza,2024-06-08 03:44:00,Saturday,3,34.68,22.72,4.981204019876848,113.17,Uber Bus,Cash,4.6
Mohandessin,New Cairo,Giza,Cairo,2024-06-03 14:36:00,Monday,14,22.51,13.26,4.164444071627809,55.22,Uber Comfort,Wallet,4.4
Dokki,Maadi,Giza,Cairo,2024-06-23 04:21:00,Sunday,4,47.77,19.78,3.3433283092103947,66.13,Uber Scooter,Wallet,3.8
Sheikh Zayed,Shubra,Giza,Cairo,2024-06-29 11:48:00,Saturday,11,30.29,21.11,4.587817056577698,96.85,Uber Scooter,Credit Card,3.8
Ain Shams,Rehab,Cairo,Cairo,2024-06-01 22:40:00,Saturday,22,30.68,15.5,4.293570870784894,66.55,Uber Comfort,Cash,3.6
Mohandessin,Haram,Giza,Giza,2024-06-20 02:21:00,Thursday,2,34.8,24.61,5.465055584574974,134.5,Uber Bus,Cash,4.9
6th October,Maadi,Giza,Cairo,2024-06-08 20:37:00,Saturday,20,26.72,12.9,4.853908985898155,62.62,Uber Scooter,Credit Card,4.6
